prevailing_wage,continent_Asia,continent_Europe,continent_North America,continent_Oceania,continent_South America,education_of_employee_Doctorate,education_of_employee_High School,education_of_employee_Master's,has_job_experience_Y,requires_job_training_Y,no_of_employees_Medium_Sized(2500-7500employees),no_of_employees_Large_Sized(>75000employees),yr_of_estab_Newer_Estab(>1990),region_of_employment_Midwest,region_of_employment_Northeast,region_of_employment_South,region_of_employment_West,unit_of_wage_Not_Hourly,full_time_position_Y
30794.5508,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1
83425.65,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1
122996.86,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1
83434.03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
149907.39,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1
78252.14,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1
53635.39,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1
21747.9496,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
74362.19,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1
67514.76,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1
83588.56,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1
70813.09,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1
28663.05,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1
107196.03,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1
220081.73,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1
74108.02,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1
3706.79,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1
16132.61,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1
150441.13,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1
79948.12,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
71128.98,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1
137694.98,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0
45642.39,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1
90108.38,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
71286.04,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1
99489.65,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1
86332.95,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1
103029.33,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1
40925.86,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1
189190.48,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1
79594.12,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0
135866.13,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
72077.57,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
81921.18,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1
225569.73,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
92421.92,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1
2490.12,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1
110817.26,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1
50960.01,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1
125336.9,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1
39633.32,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1
156326.33,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
43630.58,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1
54614.42,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1
28989.87,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1
22924.91,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1
